Titolo,URL
Grande successo di partecipanti al primo evento Remoto di JUG Genova,https://juggenova.wordpress.com/2020/03/25/grande-successo-di-partecipanti-al-primo-evento-remoto-di-jug-genova/
Danilo Paissan presenta Apache Kafka,https://juggenova.wordpress.com/2020/03/19/danilo-paissan-presenta-apache-kafka/
JUG Genova meeting @ ManyDesigns – 11/03/2020 (Apache Kafka By Danilo Paissan),https://juggenova.wordpress.com/2020/02/12/jug-genova-meeting-manydesigns-11-03-2020-apache-kafka-by-danilo-paissan/
JUG Genova meeting @ ManyDesigns – 20/01/2020 (Kotlin By Andrea De Gaetano),https://juggenova.wordpress.com/2020/01/16/%e2%80%8bjug-genova-meeting-manydesigns-20-01-2020-kotlin-by-andrea-de-gaetano/
JUG Genova meeting @ ManyDesigns – 15/02/2017 (OrientDB By Roberto Franchini),https://juggenova.wordpress.com/2017/01/23/%e2%80%8bjug-genova-meeting-manydesigns-15022017-orientdb-by-roberto-franchini/
JUG Genova meeting @ ManyDesigns – 21/12/2016 (Dark Microservices By Andrea Rodriguez),https://juggenova.wordpress.com/2016/12/12/jug-genova-meeting-manydesigns-21122016-dark-microservices-by-andrea-rodriguez/
JUG Genova meeting @ ManyDesigns – 16/11/2016 (Microservices),https://juggenova.wordpress.com/2016/10/11/jug-genova-meeting-manydesigns-16112016-microservices/
Grande successo di partecipanti all’ultimo evento del Jug Genova!,https://juggenova.wordpress.com/2016/09/26/grande-successo-di-partecipanti-allultimo-evento-del-jug-genova/
JUG Genova meeting @ ManyDesigns – 21/09/2016 (Java 9 By Alessio Stalla),https://juggenova.wordpress.com/2016/07/27/jug-genova-meeting-manydesigns-21092016-java-9-by-alessio-stalla/
JUG Genova meeting @ ManyDesigns – 30/06/2016 (Serverless / AWS Lambda By Corrado Alesso),https://juggenova.wordpress.com/2016/06/17/jug-genova-meeting-manydesigns-30062016-serverless-aws-lambda-by-corrado-alesso/
JUG Genova meeting @ ManyDesigns – 13/10/2015 (Test su Java Swing by Marco Perrando),https://juggenova.wordpress.com/2015/10/05/jug-genova-meeting-manydesigns-13102015-test-su-java-swing-by-marco-perrando/
Jug Genova partecipa al festival ICT,https://juggenova.wordpress.com/2015/08/28/jug-genova-partecipa-al-festival-ict/
DDD (Domain Driven Design) + EventStorming,https://juggenova.wordpress.com/2015/07/22/ddd-domain-driven-design-eventstorming/
JUG Genova meeting @ ManyDesigns – 21/07/2015 DDD (Domain Driven Design) + EventStorming by Andrea Rodriguez,https://juggenova.wordpress.com/2015/07/22/jug-genova-meeting-manydesigns-21072015-ddd-domain-driven-design-eventstorming-by-andrea-rodriguez/
Playing with parse.com,https://juggenova.wordpress.com/2015/06/15/playing-with-parse-com/
JUG Genova meeting @ ManyDesigns – 11/06/2015 (Parse by Andrea De Gaetano),https://juggenova.wordpress.com/2015/05/12/jug-genova-meeting-manydesigns-03062015-parse-by-andrea-de-gaetano/
JUG Genova meeting @ ManyDesigns – 29/04/2015 (Apache Solr by Francelabs.com),https://juggenova.wordpress.com/2015/02/26/jug-genova-meeting-manydesigns-29042015-apache-solr-by-francelabs-com/
JUG Genova meeting @ ManyDesigns – 06/03/2015 (Drools By Mario Fusco),https://juggenova.wordpress.com/2015/01/19/jug-genova-meeting-manydesigns-06032015-drools-by-mario-fusco/
